customer_id,signup_date,region,contract_type,payment_method,internet_service,tenure_months,monthly_charges,total_charges,support_calls,churned,churn_reason
CUST-000081,2023-04-24,West,Month-to-month,Mailed check,No internet,7,69.73,488.11,0,0,
CUST-000082,2023-08-03,South,Month-to-month,Credit card,No internet,12,78.38,940.56,1,0,
CUST-000083,2023-09-19,South,Month-to-month,Bank transfer,DSL,11,63.37,697.07,0,0,
CUST-000084,2023-08-31,South,One year,Credit card,DSL,8,58.53,468.24,0,0,
CUST-000085,2022-07-12,West,One year,Credit card,No internet,9,83.96,755.64,2,0,
CUST-000086,2025-08-05,South,Month-to-month,Credit card,DSL,16,82.21,1315.36,2,0,
CUST-000087,2023-03-20,West,One year,Credit card,DSL,8,62.75,502.0,0,0,
CUST-000088,2024-12-16,South,Month-to-month,Bank transfer,Fiber optic,20,41.29,825.8,1,0,
CUST-000089,2024-07-11,South,Month-to-month,Credit card,DSL,21,81.13,1703.73,3,0,
CUST-000090,2024-07-08,Northeast,One year,Bank transfer,Fiber optic,12,54.84,658.08,0,0,
CUST-000091,2025-12-11,South,Two year,Mailed check,Fiber optic,8,75.08,600.64,3,0,
CUST-000092,2022-06-14,Midwest,One year,Electronic check,DSL,48,73.58,3531.84,1,0,
CUST-000093,2023-05-13,South,Two year,Credit card,Fiber optic,29,38.3,1110.7,0,0,
CUST-000094,2023-03-28,Midwest,Two year,Mailed check,Fiber optic,12,71.95,863.4,2,0,
CUST-000095,2025-12-24,Midwest,Two year,Credit card,DSL,39,82.65,3223.35,1,0,
CUST-000096,2022-03-14,West,Two year,Credit card,Fiber optic,21,85.96,1805.16,1,0,
CUST-000097,2023-03-17,Midwest,Month-to-month,Mailed check,No internet,18,72.79,1310.22,3,0,
CUST-000098,2024-02-27,West,Month-to-month,Mailed check,No internet,8,37.24,297.92,2,0,
CUST-000099,2022-01-09,West,Two year,Electronic check,DSL,31,105.5,3270.5,1,0,
CUST-000100,2022-06-22,Midwest,One year,Bank transfer,Fiber optic,11,79.96,879.56,0,0,
CUST-000101,2025-07-28,Midwest,One year,Bank transfer,DSL,39,47.7,1860.3,5,0,
CUST-000102,2022-02-12,South,Month-to-month,Mailed check,Fiber optic,11,54.48,599.28,0,0,
CUST-000103,2022-09-23,Midwest,Month-to-month,Bank transfer,DSL,43,75.49,3246.07,1,1,Competitor offered better deal
CUST-000104,2023-06-06,Northeast,Month-to-month,Bank transfer,Fiber optic,1,87.14,87.14,1,1,Price too high
CUST-000105,2023-06-25,South,Month-to-month,Electronic check,Fiber optic,24,59.97,1439.28,2,1,Price too high
CUST-000106,2024-12-23,South,Two year,Electronic check,Fiber optic,27,91.3,2465.1,4,0,
CUST-000107,2023-03-27,Midwest,One year,Electronic check,No internet,38,39.5,1501.0,2,1,Poor customer service
CUST-000108,2023-09-15,Northeast,One year,Credit card,Fiber optic,6,50.22,301.32,4,0,
CUST-000109,2024-01-19,South,Month-to-month,Electronic check,Fiber optic,26,36.21,941.46,1,1,Competitor offered better deal
CUST-000110,2022-05-07,West,One year,Electronic check,Fiber optic,40,52.61,2104.4,1,0,
CUST-000111,2023-06-08,West,Two year,Mailed check,DSL,20,113.59,2271.8,1,0,
CUST-000112,2024-02-28,West,Month-to-month,Bank transfer,No internet,14,135.44,1896.16,1,1,Competitor offered better deal
CUST-000113,2023-02-14,Midwest,Month-to-month,Credit card,Fiber optic,3,75.57,226.71,1,1,Price too high
CUST-000114,2023-10-19,Northeast,Two year,Mailed check,Fiber optic,27,57.15,1543.05,1,0,
CUST-000115,2024-03-02,West,Month-to-month,Bank transfer,Fiber optic,34,65.31,2220.54,3,1,Frequent service outages
CUST-000116,2025-11-04,West,Month-to-month,Bank transfer,DSL,27,81.57,2202.39,0,0,
CUST-000117,2024-04-29,Northeast,Two year,Credit card,DSL,3,42.51,127.53,2,0,
CUST-000118,2022-07-20,South,Month-to-month,Bank transfer,DSL,11,58.37,642.07,0,0,
CUST-000119,2024-12-10,South,One year,Bank transfer,DSL,18,110.96,1997.28,1,0,
CUST-000120,2024-09-24,South,Month-to-month,Electronic check,Fiber optic,3,50.17,150.51,2,0,
CUST-000121,2023-05-05,South,One year,Mailed check,No internet,27,55.16,1489.32,3,0,
CUST-000122,2024-11-18,West,One year,Credit card,DSL,9,70.4,633.6,0,0,
CUST-000123,2022-07-01,Northeast,Two year,Electronic check,DSL,35,76.75,2686.25,2,0,
CUST-000124,2025-05-24,West,Month-to-month,Mailed check,Fiber optic,8,57.4,459.2,1,0,
CUST-000125,2022-08-21,Midwest,Two year,Bank transfer,DSL,44,71.85,3161.4,2,0,
CUST-000126,2025-05-21,South,One year,Credit card,DSL,15,85.16,1277.4,0,0,
CUST-000127,2023-04-09,South,Month-to-month,Electronic check,Fiber optic,6,131.32,787.92,1,1,Price too high
CUST-000128,2023-08-14,South,One year,Credit card,Fiber optic,7,67.33,471.31,2,1,Frequent service outages
CUST-000129,2023-01-23,Midwest,One year,Electronic check,DSL,11,69.19,761.09,1,0,
CUST-000130,2024-12-28,Northeast,Two year,Credit card,DSL,45,114.3,5143.5,3,0,
CUST-000131,2024-07-21,West,Month-to-month,Credit card,Fiber optic,14,58.81,823.34,1,0,
CUST-000132,2023-07-27,Northeast,Two year,Credit card,No internet,25,45.89,1147.25,0,0,
CUST-000133,2025-01-23,Midwest,One year,Credit card,Fiber optic,7,75.95,531.65,1,1,Moving / relocation
CUST-000134,2025-07-31,Northeast,Two year,Credit card,Fiber optic,30,98.93,2967.9,0,0,
CUST-000135,2023-09-01,South,Two year,Credit card,Fiber optic,2,78.69,157.38,0,0,
CUST-000136,2024-10-26,South,Month-to-month,Bank transfer,DSL,18,67.96,1223.28,1,1,Poor customer service
CUST-000137,2025-08-11,South,Month-to-month,Bank transfer,Fiber optic,19,44.1,837.9,2,0,
CUST-000138,2022-03-03,Northeast,Month-to-month,Electronic check,DSL,3,68.81,206.43,3,1,Frequent service outages
CUST-000139,2023-02-22,West,One year,Electronic check,Fiber optic,12,104.02,1248.24,3,0,
CUST-000140,2022-10-03,Northeast,Two year,Bank transfer,Fiber optic,25,47.23,1180.75,1,0,
CUST-000141,2024-05-12,West,Month-to-month,Electronic check,Fiber optic,19,64.82,1231.58,0,0,
CUST-000142,2025-08-13,Midwest,One year,Credit card,Fiber optic,15,61.93,928.95,2,0,
CUST-000143,2025-11-21,South,Two year,Electronic check,Fiber optic,20,56.08,1121.6,0,0,
CUST-000144,2024-04-03,South,Two year,Electronic check,Fiber optic,17,75.89,1290.13,0,0,
CUST-000145,2025-09-16,South,Month-to-month,Electronic check,Fiber optic,11,80.79,888.69,0,0,
CUST-000146,2025-02-09,West,Two year,Electronic check,DSL,22,80.52,1771.44,2,0,
CUST-000147,2025-01-27,West,Month-to-month,Electronic check,No internet,3,51.29,153.87,0,0,
CUST-000148,2025-05-28,South,One year,Bank transfer,DSL,17,41.4,703.8,1,0,
CUST-000149,2025-04-17,Northeast,One year,Electronic check,Fiber optic,29,76.25,2211.25,1,0,
CUST-000150,2022-03-11,South,Month-to-month,Credit card,Fiber optic,5,59.63,298.15,2,1,Moving / relocation
CUST-000151,2024-05-05,West,Month-to-month,Mailed check,Fiber optic,30,126.25,3787.5,1,1,Price too high
CUST-000152,2022-06-09,West,Month-to-month,Bank transfer,DSL,11,128.13,1409.43,0,1,Price too high
CUST-000153,2022-07-23,South,Month-to-month,Bank transfer,Fiber optic,20,132.56,2651.2,2,0,
CUST-000154,2025-10-01,Midwest,Two year,Electronic check,No internet,22,51.89,1141.58,0,0,
CUST-000155,2024-09-16,Midwest,One year,Electronic check,Fiber optic,23,84.12,1934.76,1,0,
CUST-000156,2024-06-08,Midwest,One year,Credit card,DSL,8,92.64,741.12,0,0,
CUST-000157,2025-10-14,South,Month-to-month,Bank transfer,DSL,6,89.36,536.16,0,0,
CUST-000158,2024-11-17,South,Month-to-month,Electronic check,Fiber optic,17,62.59,1064.03,1,0,
CUST-000159,2024-01-07,South,Month-to-month,Bank transfer,Fiber optic,37,105.57,3906.09,0,1,Poor customer service
CUST-000160,2023-07-31,West,Month-to-month,Mailed check,Fiber optic,35,70.12,2454.2,2,0,
CUST-000161,2023-03-23,South,One year,Electronic check,DSL,41,73.04,2994.64,1,0,
CUST-000162,2022-12-20,South,Two year,Electronic check,No internet,9,42.86,385.74,1,0,
CUST-000163,2023-06-22,West,Month-to-month,Credit card,Fiber optic,20,86.17,1723.4,0,0,
CUST-000164,2022-05-26,South,Two year,Mailed check,Fiber optic,28,64.5,1806.0,0,1,Moving / relocation
CUST-000165,2022-01-20,Midwest,Two year,Bank transfer,Fiber optic,21,81.35,1708.35,1,0,
CUST-000166,2022-11-09,Midwest,Two year,Electronic check,Fiber optic,21,75.58,1587.18,2,0,
CUST-000167,2023-11-02,Midwest,Month-to-month,Electronic check,No internet,18,74.28,1337.04,1,1,Competitor offered better deal
CUST-000168,2022-05-31,Midwest,Two year,Electronic check,Fiber optic,3,69.09,207.27,0,1,Poor customer service
CUST-000169,2023-04-26,South,Two year,Bank transfer,Fiber optic,25,90.17,2254.25,0,0,
CUST-000170,2025-09-17,Northeast,Month-to-month,Credit card,DSL,2,65.78,131.56,0,0,
CUST-000171,2024-04-13,Midwest,One year,Credit card,Fiber optic,4,44.01,176.04,0,0,
CUST-000172,2025-06-26,South,Month-to-month,Electronic check,Fiber optic,7,84.1,588.7,0,1,Price too high
CUST-000173,2022-09-21,Midwest,Two year,Electronic check,Fiber optic,25,54.12,1353.0,2,0,
CUST-000174,2025-01-07,West,Two year,Electronic check,DSL,38,45.89,1743.82,1,0,
CUST-000175,2022-06-23,South,Two year,Credit card,No internet,48,50.55,2426.4,0,0,
CUST-000176,2022-02-02,South,Two year,Bank transfer,No internet,20,76.76,1535.2,2,0,
CUST-000177,2022-01-02,South,Two year,Credit card,DSL,36,67.97,2446.92,3,1,Price too high
CUST-000178,2024-02-01,West,Month-to-month,Mailed check,DSL,12,35.43,425.16,0,0,
CUST-000179,2022-01-06,South,One year,Bank transfer,DSL,40,62.01,2480.4,1,1,Price too high
CUST-000180,2022-12-17,West,Two year,Bank transfer,Fiber optic,14,101.92,1426.88,1,0,
CUST-000181,2024-10-08,Midwest,Two year,Bank transfer,Fiber optic,40,60.68,2427.2,1,0,
CUST-000182,2022-04-21,South,Two year,Bank transfer,Fiber optic,11,66.49,731.39,2,1,Moving / relocation
CUST-000183,2025-07-15,South,Month-to-month,Electronic check,Fiber optic,1,97.88,97.88,4,1,Moving / relocation
CUST-000184,2022-01-31,Midwest,One year,Mailed check,No internet,37,90.43,3345.91,3,1,Moving / relocation
CUST-000185,2025-04-24,Midwest,Two year,Credit card,DSL,36,97.22,3499.92,3,1,Poor customer service
CUST-000186,2024-11-13,Northeast,One year,Electronic check,No internet,17,28.87,490.79,1,0,
CUST-000187,2025-05-19,Midwest,Month-to-month,Bank transfer,Fiber optic,12,122.09,1465.08,0,1,Moving / relocation
CUST-000188,2023-07-08,South,Month-to-month,Credit card,Fiber optic,18,85.94,1546.92,2,0,
CUST-000189,2022-03-28,West,One year,Bank transfer,No internet,6,150.0,900.0,2,0,
CUST-000190,2024-05-10,South,One year,Bank transfer,Fiber optic,22,54.58,1200.76,1,0,
CUST-000191,2025-10-23,Midwest,Month-to-month,Electronic check,DSL,2,39.87,79.74,3,0,
CUST-000192,2025-02-05,South,One year,Credit card,Fiber optic,27,70.27,1897.29,1,0,
CUST-000193,2024-08-13,Northeast,Month-to-month,Credit card,No internet,1,64.19,64.19,0,1,Price too high
CUST-000194,2023-10-17,Midwest,One year,Credit card,Fiber optic,27,86.42,2333.34,4,0,
CUST-000195,2022-12-13,Midwest,Month-to-month,Electronic check,No internet,44,98.89,4351.16,2,0,
CUST-000196,2022-07-08,Northeast,Month-to-month,Credit card,Fiber optic,7,68.17,477.19,2,0,
CUST-000197,2022-03-17,West,Two year,Mailed check,Fiber optic,25,64.91,1622.75,1,0,
CUST-000198,2025-10-10,South,Month-to-month,Bank transfer,DSL,9,82.87,745.83,4,0,
CUST-000199,2025-10-05,Midwest,Two year,Electronic check,Fiber optic,25,64.58,1614.5,1,0,
CUST-000200,2024-08-02,South,One year,Electronic check,Fiber optic,42,62.88,2640.96,4,0,
CUST-000201,2023-09-22,South,Month-to-month,Bank transfer,DSL,12,97.7,1172.4,2,0,
CUST-000202,2022-10-18,West,One year,Bank transfer,Fiber optic,28,104.91,2937.48,3,0,
CUST-000203,2025-11-04,South,Month-to-month,Credit card,Fiber optic,36,99.17,3570.12,0,0,
CUST-000204,2024-09-24,West,One year,Electronic check,Fiber optic,15,66.43,996.45,0,0,
CUST-000205,2022-04-01,South,Two year,Credit card,DSL,33,35.35,1166.55,1,0,
CUST-000206,2023-09-18,West,One year,Bank transfer,Fiber optic,2,66.86,133.72,2,0,
CUST-000207,2023-05-22,South,Two year,Electronic check,DSL,43,55.01,2365.43,4,0,
CUST-000208,2025-03-03,Northeast,Two year,Electronic check,DSL,30,67.25,2017.5,4,0,
CUST-000209,2024-12-05,South,One year,Credit card,Fiber optic,19,56.56,1074.64,1,0,
CUST-000210,2024-11-17,South,One year,Credit card,DSL,40,69.64,2785.6,1,0,
CUST-000211,2025-02-15,Midwest,One year,Electronic check,DSL,11,50.27,552.97,2,0,
CUST-000212,2023-01-17,Midwest,Month-to-month,Mailed check,DSL,22,46.53,1023.66,1,1,Price too high
CUST-000213,2023-09-14,Midwest,Month-to-month,Bank transfer,Fiber optic,42,103.68,4354.56,0,0,
CUST-000214,2024-12-17,Midwest,One year,Bank transfer,DSL,8,51.4,411.2,1,0,
CUST-000215,2023-01-06,South,Two year,Bank transfer,Fiber optic,40,70.11,2804.4,0,0,
CUST-000216,2024-03-15,Midwest,Month-to-month,Credit card,Fiber optic,14,95.15,1332.1,1,1,Price too high
CUST-000217,2025-03-31,Northeast,Two year,Electronic check,Fiber optic,6,93.93,563.58,1,0,
CUST-000218,2024-09-09,Midwest,Month-to-month,Electronic check,No internet,7,90.41,632.87,1,0,
CUST-000219,2023-05-10,Midwest,Two year,Electronic check,Fiber optic,33,77.24,2548.92,2,1,Moving / relocation
CUST-000220,2023-08-01,South,Two year,Credit card,DSL,41,88.38,3623.58,3,0,
CUST-000221,2024-07-20,Midwest,Month-to-month,Bank transfer,Fiber optic,10,108.79,1087.9,1,1,Price too high
CUST-000222,2022-06-01,South,Two year,Electronic check,Fiber optic,9,80.32,722.88,3,1,Competitor offered better deal
CUST-000223,2025-02-28,Midwest,Two year,Credit card,Fiber optic,21,38.94,817.74,1,0,
CUST-000224,2022-02-22,South,One year,Bank transfer,Fiber optic,15,59.2,888.0,2,0,
CUST-000225,2025-03-06,Northeast,Two year,Mailed check,DSL,37,87.61,3241.57,1,0,
CUST-000226,2025-03-02,South,One year,Electronic check,DSL,23,57.36,1319.28,2,1,Poor customer service
CUST-000227,2024-07-24,Northeast,One year,Credit card,Fiber optic,17,117.73,2001.41,1,1,Price too high
CUST-000228,2023-02-15,West,Two year,Bank transfer,Fiber optic,42,68.7,2885.4,0,0,
CUST-000229,2023-08-20,West,Month-to-month,Electronic check,Fiber optic,4,72.04,288.16,3,1,Price too high
CUST-000230,2024-05-10,South,Month-to-month,Electronic check,DSL,6,100.48,602.88,2,1,Price too high
CUST-000231,2025-10-10,Northeast,Month-to-month,Electronic check,Fiber optic,2,66.12,132.24,1,0,
CUST-000232,2025-05-13,Midwest,One year,Bank transfer,No internet,45,74.17,3337.65,1,0,
CUST-000233,2022-03-29,Northeast,One year,Electronic check,Fiber optic,2,93.48,186.96,2,0,
CUST-000234,2025-10-20,Northeast,Two year,Mailed check,Fiber optic,29,43.77,1269.33,1,0,
CUST-000235,2024-10-12,South,Two year,Mailed check,DSL,36,63.99,2303.64,1,0,
CUST-000236,2025-11-18,South,One year,Credit card,DSL,37,91.41,3382.17,2,0,
CUST-000237,2023-06-14,South,One year,Bank transfer,Fiber optic,46,71.59,3293.14,0,0,
CUST-000238,2025-03-22,Northeast,Month-to-month,Mailed check,Fiber optic,3,112.12,336.36,0,1,Price too high
CUST-000239,2022-06-18,Northeast,Month-to-month,Bank transfer,Fiber optic,20,42.34,846.8,1,0,
CUST-000240,2024-02-02,Midwest,One year,Bank transfer,Fiber optic,25,40.82,1020.5,3,0,
CUST-000241,2023-09-18,Midwest,Month-to-month,Credit card,DSL,11,89.68,986.48,2,0,
CUST-000242,2023-01-24,Midwest,Two year,Credit card,DSL,30,92.49,2774.7,3,0,
CUST-000243,2023-04-21,West,Month-to-month,Bank transfer,Fiber optic,7,65.9,461.3,1,0,
CUST-000244,2022-01-26,Northeast,Two year,Bank transfer,Fiber optic,15,79.69,1195.35,2,1,Poor customer service
CUST-000245,2024-08-26,South,One year,Mailed check,DSL,6,88.98,533.88,0,0,
CUST-000246,2022-11-26,West,One year,Credit card,DSL,7,54.03,378.21,1,0,
CUST-000247,2022-01-27,West,Month-to-month,Bank transfer,DSL,13,55.91,726.83,1,1,Competitor offered better deal
CUST-000248,2022-12-12,Midwest,One year,Mailed check,DSL,27,74.49,2011.23,1,0,
CUST-000249,2025-02-13,South,Two year,Bank transfer,Fiber optic,39,93.63,3651.57,0,0,
CUST-000250,2024-02-08,West,Month-to-month,Electronic check,DSL,3,48.27,144.81,1,0,
CUST-000251,2022-11-20,Midwest,Month-to-month,Bank transfer,Fiber optic,13,65.8,855.4,3,0,
CUST-000252,2024-07-05,South,Two year,Electronic check,DSL,3,64.83,194.49,2,1,Poor customer service
CUST-000253,2022-10-23,West,One year,Mailed check,Fiber optic,14,80.14,1121.96,1,0,
CUST-000254,2025-12-02,West,One year,Electronic check,DSL,22,69.91,1538.02,1,0,
CUST-000255,2022-06-08,West,Month-to-month,Electronic check,Fiber optic,6,58.87,353.22,1,1,Competitor offered better deal
CUST-000256,2023-07-25,South,One year,Electronic check,Fiber optic,11,104.54,1149.94,0,0,
CUST-000257,2024-02-15,South,Two year,Bank transfer,Fiber optic,38,58.99,2241.62,0,1,Poor customer service
CUST-000258,2025-10-03,Midwest,Month-to-month,Bank transfer,DSL,8,63.85,510.8,2,0,
CUST-000259,2022-05-03,West,Month-to-month,Bank transfer,DSL,13,42.13,547.69,3,0,
CUST-000260,2025-03-25,West,Month-to-month,Mailed check,Fiber optic,43,55.79,2398.97,3,0,
CUST-000261,2023-01-03,South,One year,Credit card,Fiber optic,9,82.69,744.21,1,0,
CUST-000262,2024-10-29,West,Month-to-month,Credit card,Fiber optic,13,77.68,1009.84,1,0,
CUST-000263,2022-06-27,Midwest,Two year,Bank transfer,DSL,22,84.93,1868.46,6,0,
CUST-000264,2022-09-13,West,Month-to-month,Bank transfer,DSL,9,83.62,752.58,0,0,
CUST-000265,2025-12-29,South,Month-to-month,Credit card,DSL,32,136.74,4375.68,2,0,
CUST-000266,2024-06-21,Northeast,Two year,Bank transfer,DSL,11,55.18,606.98,3,0,
CUST-000267,2022-02-07,Midwest,Two year,Electronic check,DSL,16,41.75,668.0,2,0,
CUST-000268,2024-05-16,South,One year,Bank transfer,Fiber optic,23,50.09,1152.07,0,0,
CUST-000269,2024-11-12,South,Two year,Electronic check,DSL,18,55.97,1007.46,2,0,
CUST-000270,2025-02-28,Midwest,Month-to-month,Credit card,Fiber optic,42,51.33,2155.86,1,0,
CUST-000271,2023-01-13,Midwest,One year,Bank transfer,DSL,22,72.24,1589.28,4,1,Price too high
CUST-000272,2024-04-26,Northeast,Month-to-month,Credit card,DSL,2,104.67,209.34,0,0,
CUST-000273,2022-08-15,West,One year,Electronic check,No internet,11,114.74,1262.14,2,0,
